Description,Trail Mile,Trip Mile,Total Days,Miles From Last
SR 6,2067.5,2067.5,146.4,0.0
Leeman Brook Lean-to,2070.6,2070.6,146.6,3.0
Wilson Valley Lean-to,2078.0,2078.0,147.0,7.4
Long Pond Lean-to,2082.7,2082.7,147.3,4.7
Cloud Pond Lean-to,2086.5,2086.5,147.6,3.8
Chairback Gap Lean-to,2093.0,2093.0,148.0,6.5
West Branch Pleasant River TH,2097.5,2097.4,148.2,4.4
West Branch Pleasant River TH,2097.5,2097.5,148.2,0.0
Carl A. Newhall Lean-to,2102.9,2102.9,148.6,5.4
Logan Brook Lean-to,2109.8,2109.8,149.0,6.9
East Branch Lean-to,2113.4,2113.4,149.2,3.6
Kokadjo  B Pond Road TH,2118.1,2118.1,149.5,4.7
Cooper Brook Falls Lean-to,2121.5,2121.5,149.7,3.4
Jo Mary Road TH,2125.2,2125.2,149.9,3.8
Potaywadjo Spring Lean-to,2133.0,2133.0,150.4,7.7
No Official Name Or Unknown TH,2140.2,2140.2,150.8,7.2
Wadleigh Stream Lean-to,2143.0,2143.0,151.0,2.8
logging rd n of nesuntabunt mt TH,2146.0,2146.0,151.2,3.0
Pollywog Stream TH,2148.4,2148.4,151.3,2.4
Rainbow Stream Lean-to,2150.8,2150.8,151.5,2.4
Hurd Brook Lean-to,2161.8,2161.7,152.1,10.9
Golden Road TH,2165.0,2165.0,152.3,3.3
Golden Road TH,2165.1,2165.1,152.3,0.1
Abol Bridge Campground Store TH,2165.3,2165.3,152.4,0.2
Millinocket  ME 04462,2165.4,2165.4,152.4,0.1
No Official Name or Unknown TH,2165.8,2165.8,152.4,0.4
Daicy Pond Campground Day Use Parking TH,2172.8,2172.8,152.8,7.0
Grassy Pond TH,2174.3,2174.3,152.9,1.5
Katahdin Stream Cg Shelter  No.7,2175.0,2175.0,152.9,0.8
The Birches Lean-to No. 1,2175.1,2175.0,152.9,0.0
The Birches Lean-to No. 2,2175.1,2175.1,152.9,0.0
Katahdin Stream Campground Day Use Parking Lot TH,2175.1,2175.1,153.0,0.0
Mt Katahdin,2180.0,2180.0,153.2,4.9
