Description,Trail Mile,Trip Mile,Total Days,Miles From Last
TN 91 TH,445.3,445.3,46.6,4.5
Shady Valley  TN 37688/TN 91/Cross Mountain TH,445.4,445.4,46.6,0.1
SR 91,445.5,445.4,46.6,0.0
Double Springs Shelter,448.5,448.5,46.8,3.0
US 421 TH,452.0,452.0,47.0,3.5
US Hwy 421,452.0,452.0,47.0,0.0
US 421 TH,452.0,452.0,47.0,0.0
McQueens Knob (Emergency Shelter),455.4,455.4,47.2,3.3
Abingdon Gap Shelter,456.8,456.8,47.3,1.4
The Place Shelter,466.9,466.9,48.0,10.2
Damascus  VA 24236,467.6,467.6,48.0,0.7
US Hwy 58,467.8,467.8,49.0,0.2
US 58 TH,472.4,472.4,49.3,4.6
Saunders Shelter,476.2,476.2,49.5,3.8
Whitetop Laurel Creek TH,481.1,481.1,49.8,4.8
County Rd 859,481.7,481.7,49.9,0.7
Lost Mountain Shelter,482.9,482.9,49.9,1.2
US Hwy 58,483.9,483.9,50.0,1.0
VA 601 TH,485.2,485.2,50.1,1.2
County Rd 601,485.2,485.2,50.1,0.0
USFS 89 (Whitetop Mountian Road) TH,488.7,488.7,50.3,3.5
Elk Garden TH,491.0,491.0,50.4,2.3
County Rd 600,491.0,491.0,50.4,0.0
Thomas Knob Shelter,495.2,495.2,50.7,4.2
Grayson Highlands State Park TH,498.2,498.2,50.9,3.0
Grayson Highlands State Park (Massie Gap) TH,498.2,498.2,50.9,0.0
Wise Shelter,500.3,500.3,51.0,2.1
Scales TH,503.3,503.3,51.2,3.0
Old Orchard Shelter,506.3,506.3,51.3,3.0
VA 603 (Fox Creek) TH,508.0,508.0,51.5,1.7
Troutdale  VA 24378/SR 603,508.0,508.0,51.5,0.0
VA 650 TH,516.4,516.4,52.0,8.4
County Rd 650,516.4,516.4,52.0,0.0
Raccoon Branch (old shelter),517.8,517.8,52.0,1.4
Trimpi Shelter,520.5,520.5,52.2,2.7
County Rd 672,521.7,521.7,52.3,1.2
Sugar Grove  VA 24375/VA 670 TH/County Rd 670,522.6,522.6,52.3,0.9
VA 601 TH,526.5,526.5,52.6,3.9
County Rd 601,526.5,526.5,52.6,0.0
Partnership Shelter,530.4,530.4,52.8,3.9
VA 16 (Mt Rogers Headquarters) TH,530.6,530.6,52.8,0.2
County Rd 622,531.3,531.3,52.9,0.7
USFS 86 TH,534.6,534.6,53.1,3.3
Chatfield Memorial Shelter,537.4,537.4,53.2,2.8
Settlers Museum TH,539.2,539.2,53.3,1.8
County Rd 615,539.2,539.2,53.4,0.1
County Rd 729,539.7,539.7,53.4,0.4
Atkins  VA 24311,541.8,541.8,53.5,2.2
US Hwy 11,542.0,542.0,53.5,0.1
I-81,542.1,542.1,53.5,0.1
I-81,542.1,542.1,53.5,0.0
County Rd 617,543.0,543.0,53.6,0.9
VA 617 TH,543.0,543.0,53.6,0.0
Davis Path (old shelter),544.8,544.8,53.7,1.8
County Rd 610,552.0,552.0,54.1,7.3
SR 742,553.5,553.5,54.2,1.4
SR 42,554.6,554.6,54.3,1.1
VA 42 TH,554.6,554.6,54.3,0.1
Knot Maul Shelter,556.5,556.5,54.4,1.9
USFS 222 TH,561.2,561.2,54.7,4.7
SR 625,561.2,561.2,54.7,0.0
Chestnut Knob Shelter,565.9,565.9,55.0,4.7
Walker Gap TH,567.2,567.2,55.1,1.3
VA 623 TH,572.0,572.0,55.4,4.8
SR 623,572.1,572.0,55.4,0.0
Jenkins Shelter,576.5,576.5,55.6,4.5
VA 615 TH,580.9,580.9,55.9,4.3
SR 615,580.9,580.9,55.9,0.0
US 21 &amp; 52 TH,587.9,587.9,56.3,7.0
Bastian  VA 24314/Bland  VA 24315,587.9,587.9,56.3,0.0
US Hwy 52,588.1,588.1,56.3,0.2
SR 612,588.2,588.2,56.3,0.1
I-77,588.4,588.3,56.3,0.2
VA 612 TH,588.8,588.8,56.4,0.4
Helvey's Mill Shelter,590.2,590.2,56.5,1.4
VA 611 TH,596.9,596.8,56.9,6.7
SR 611,596.9,596.9,56.9,0.0
Jenny Knob Shelter,600.0,600.0,57.1,3.1
SR 608,601.3,601.3,57.1,1.3
VA 606 TH,606.5,606.5,57.4,5.2
SR 606,606.5,606.5,57.4,0.0
Wapiti Shelter,614.7,614.7,57.9,8.2
VA 663 (Sugar Run Gap) TH,621.9,621.9,58.4,7.2
Doc's Knob Shelter,624.1,624.0,58.5,2.2
SR 793,632.6,632.6,59.0,8.6
Pearisburg  VA 24134/SR 100,633.1,633.1,59.1,0.5
US Hwy 460,634.0,634.0,59.1,0.9
US Hwy 460,634.0,634.0,59.1,0.0
SR 641,635.3,635.3,59.2,1.3
VA 614 TH,635.3,635.3,59.2,0.0
Rice Field Shelter,639.9,639.9,59.5,4.6
Pine Swamp Shelter,652.3,652.3,60.2,12.4
VA 635 TH,652.6,652.6,60.3,0.3
SR 635,654.8,654.8,60.4,2.2
VA 635 TH,654.8,654.8,60.4,0.0
Bailey Gap Shelter,656.4,656.4,60.5,1.6
VA 613 TH,660.1,660.1,60.7,3.7
Wind Rock TH,660.1,660.1,60.7,0.0
War Spur Shelter,665.3,665.3,61.0,5.2
VA 632 And USFS 156 TH,666.2,666.2,61.1,0.9
SR 632,666.2,666.2,61.1,0.0
VA 601 (Rocky Gap) TH,668.5,668.5,61.2,2.3
Laurel Creek Shelter,671.8,671.8,61.4,3.3
SR 42,674.4,674.4,61.6,2.6
VA 630 TH,675.3,675.3,61.6,0.8
Sarver Hollow Shelter,678.5,678.5,61.8,3.3
Niday Shelter,684.2,684.2,62.2,5.7
VA 621 TH,685.7,685.7,62.3,1.5
SR 621,685.8,685.8,62.3,0.0
VA 620 TH,693.6,693.6,62.8,7.9
SR 620,693.6,693.6,62.8,0.0
Pickle Branch Shelter,694.9,694.9,62.8,1.3
VA 311 TH,701.0,701.0,63.2,6.1
SR 624,701.5,701.5,63.2,0.5
Catawba  VA 24070,703.1,703.1,63.3,1.6
SR 785,703.2,703.2,63.3,0.1
VA 311 TH,707.3,707.3,63.6,4.1
SR 311,707.3,707.3,63.6,0.0
John's Spring Shelter,708.4,708.4,63.6,1.1
Catawba Shelter,709.5,709.5,63.7,1.2
Campbell Shelter,711.9,711.9,63.9,2.4
Lamberts Meadow Shelter,718.0,718.0,64.2,6.2
US 220 Commuter Parking Lot TH,727.4,727.4,64.8,9.4
US Hwy 220,727.7,727.7,64.8,0.3
Cloverdale  VA 24077/Daleville  VA 24083/US Hwy 220,727.8,727.8,64.8,0.0
SR 653,728.3,728.3,64.9,0.5
I-81,728.9,728.9,64.9,0.6
I-81,729.0,729.0,64.9,0.1
US 11 TH,729.3,729.3,64.9,0.3
Troutville  VA 24175/US Hwy 11,729.3,729.3,64.9,0.0
SR 652,729.9,729.8,65.0,0.6
Fullhardt Knob Shelter,733.2,733.2,65.2,3.3
Wilson Creek Shelter,739.2,739.2,65.5,6.0
Blue Ridge Parkway (Black Horse Gap) TH,741.6,741.6,65.7,2.4
Blue Ridge Parkway (Montvale Overlook) TH,743.4,743.4,65.8,1.9
Blue Ridge Parkway (Harveys Knob Overlook) TH,744.1,744.1,65.8,0.6
Bobblet's Gap Shelter,746.5,746.5,66.0,2.4
Blue Ridge Parkway (Sharptop &amp; Peaks Of Otter Overlook) TH,747.3,747.3,66.0,0.8
Blue Ridge Parkway (Mills Gap) TH,747.9,747.9,66.1,0.7
Buchanan  VA 24066,749.7,749.7,66.2,1.7
VA 43 TH,749.8,749.7,66.2,0.1
SR 43,749.8,749.8,66.2,0.0
Cove Mountain Shelter,752.9,752.8,66.4,3.1
SR 614,756.1,756.1,66.6,3.2
VA 614 TH,756.1,756.1,66.6,0.1
Bryant Ridge Shelter,759.9,759.9,66.8,3.8
Cornelius Creek Shelter,764.9,764.9,67.1,5.0
USFS 812 TH,767.6,767.6,67.3,2.7
County Road 3011 TH,769.1,769.1,67.3,1.5
Thunder Hill Shelter,770.2,770.2,67.4,1.1
Big Island  VA 24526/Petites Gap Road (USFS 35) TH/SR 781,774.9,774.9,67.7,4.7
Matts creek Shelter,782.7,782.7,68.2,7.8
Glasgow  VA 24555/US 501 TH,784.7,784.7,68.3,2.0
SR 130,784.8,784.8,68.3,0.1
Boat Lanch TH,784.9,784.9,68.3,0.0
SR 812,785.9,785.9,68.4,1.1
Johns Hollow Shelter,786.6,786.6,68.4,0.7
Punchbowl Shelter,795.3,795.3,68.9,8.7
Blue Ridge Parkway (Punchbowl) TH,795.8,795.8,69.0,0.4
Blue Ridge Parkway (Mile 51.7) TH,795.8,795.8,69.0,0.0
SR 607,796.0,796.0,69.0,0.2
USFS 38 TH,802.9,802.8,69.4,6.8
Brown Mountain Creek Shelter,804.9,804.9,69.5,2.0
Buena Vista  VA 24416,806.6,806.6,69.6,1.7
US Hwy 60,806.7,806.6,69.6,0.0
US 60 Long Mtn Wayside TH,806.7,806.7,69.6,0.1
Cow Camp Gap Shelter,810.6,810.6,69.9,3.9
USFS 48 TH,813.0,813.0,70.0,2.4
USFS 63 TH,815.1,815.1,70.2,2.2
SR 634,815.1,815.1,70.2,0.0
Seeley Woodowrth Shelter,820.5,820.5,70.5,5.4
SR 826,826.6,826.6,70.8,6.1
The Priest Shelter,827.5,827.5,70.9,1.0
VA 56 TH,832.2,832.2,71.2,4.7
Montebello  VA 24464/SR 56,832.3,832.3,71.2,0.0
Harpers Creek Shelter,835.1,835.1,71.4,2.8
Maupin Field Shelter,841.1,841.1,71.7,6.0
SR 664,842.8,842.8,71.8,1.7
VA 664 (Reeds Gap) TH,842.8,842.8,71.8,0.0
Blue Ridge Parkway (3 Ridges Overlook) TH,843.4,843.4,71.9,0.5
Dripping Rock TH,847.7,847.7,72.1,4.3
Blue Ridge Parkway (Humpback Picnic Parking) TH,848.9,848.9,72.2,1.2
Blue Ridge Parkway (Humpback Gap) TH,854.5,854.5,72.5,5.6
Paul C. Wolfe Shelter,857.0,856.9,72.7,2.5
US Hwy 250,861.9,861.9,73.0,5.0
Waynesboro  VA 22980/I-64/I-64,862.0,861.9,73.0,0.0
Skyline Drive (McCormick Gap) TH,865.6,865.6,73.2,3.6
Skyline Drive (Beagle Gap) TH,867.5,867.5,73.3,1.9
Calf Mountain Shelter,869.6,869.6,73.5,2.2
Skyline Drive (Sawmill Run Overlook) TH,872.5,872.4,73.6,2.8
Skyline Drive (Turk Gap) TH,874.1,874.1,73.7,1.6
Skyline Drive (Wildcat Ridge) TH,876.1,876.1,73.9,2.0
Skyline Drive (Riprap) TH,879.1,879.1,74.0,3.0
Skyline Drive (Black Rock Gap) TH,882.1,882.1,74.2,3.0
Blackrock Hut Shelter,882.8,882.8,74.3,0.7
Skyline Drive (Black Rock) TH,883.9,883.9,74.3,1.1
Skyline Drive (Jones Run) TH,884.6,884.6,74.4,0.7
Skyline Drive (Browns Gap) TH,886.0,886.0,74.5,1.3
Skyline Drive (Doyles River Overlook) TH,887.3,887.3,74.5,1.3
Skyline Drive (Doyles River Trailhead) TH,888.1,888.1,74.6,0.8
Skyline Drive (Ivy Creek Overlook) TH,894.5,894.5,75.0,6.4
Pinefield Hut Shelter,896.1,896.1,75.1,1.6
Skyline Drive (Simmons Gap) TH,898.3,898.3,75.2,2.2
SR 628,898.3,898.3,75.2,0.0
Skyline Drive (Smith Roach Gap) TH,903.2,903.2,75.5,4.9
Hightop Hut Shelter,904.5,904.5,75.6,1.3
Skyline Drive (Hightop Mountain) TH,906.6,906.6,75.7,2.1
US Hwy 33,907.8,907.8,75.8,1.2
Pocosin Cabin Shelter,914.4,914.4,76.2,6.5
Bearfence Mountain Hut Shelter,917.2,917.2,76.4,2.8
Bearfence Mountain Hut TH,917.4,917.4,76.4,0.2
Skyline Drive (Bearfence Mountain) TH,918.4,918.4,76.4,1.0
Skyline Drive (Bootens Gap) TH,919.8,919.8,76.5,1.4
Skyline Drive (Milam Gap) TH,922.8,922.8,76.7,3.0
Skyline Drive (Tanners Ridge overlook) TH,924.3,924.3,76.8,1.5
Rock Spring Hut Shelter,928.9,928.9,77.1,4.6
Skyline Drive (Lower Hawksbill lot) TH,930.3,930.3,77.2,1.4
Skyline Drive (Skyland South) TH,932.9,932.9,77.3,2.6
Skyline Drive (stables) TH,933.3,933.3,77.3,0.4
Skyline Drive (Nature Trail Parking) TH,933.7,933.7,77.4,0.5
Skyline Drive (Little Stony Man) TH,935.3,935.3,77.5,1.6
Byrds Nest 3 Shelter,940.0,940.0,77.8,4.7
Thornton Gap TH,943.0,943.0,77.9,3.0
US Hwy 211,943.3,943.3,78.0,0.3
US Hwy 211,943.3,943.3,78.0,0.0
Pass Mountain Hut Shelter,944.7,944.7,78.0,1.4
Skyline Drive (Beahms Gap) TH,946.5,946.5,78.1,1.8
Skyline Drive (Elkwallow Wayside) TH,952.1,952.1,78.5,5.6
Skyline Drive (Hogback Mountain) TH,954.6,954.6,78.6,2.6
Skyline Drive (Little Hogback Overlook) TH,956.2,956.2,78.7,1.6
Gravel Springs Hut Shelter,958.0,958.0,78.9,1.8
Skyline Drive (Gravel Springs Gap) TH,958.2,958.2,78.9,0.2
Skyline Drive (Marshall) TH,960.0,960.0,79.0,1.7
Skyline Drive (Compton Gap) TH,966.0,966.0,79.3,6.1
SR 601,968.2,968.2,79.5,2.2
Tom Floyd Wayside Shelter,968.7,968.7,79.5,0.5
SR 602,970.2,970.2,79.6,1.6
VA 522 (Chester Gap) TH,971.6,971.6,79.7,1.4
US Hwy 522,971.6,971.6,79.7,0.0
Jim &amp; Molly Denton Shelter,976.8,976.8,80.0,5.2
VA 638 (Fiery Run Road) TH,977.9,977.9,80.1,1.1
VA 638 TH,977.9,977.9,80.1,0.0
Linden  VA 22642/Front Royal  VA 22630/VA 55 (Manassas Gap) TH,979.9,979.9,80.2,1.9
I-66,980.0,980.0,80.2,0.1
I-66,980.0,980.0,80.2,0.0
VA 725 TH,980.0,980.0,80.2,0.0
County Rd 725,980.0,980.0,80.2,0.0
County Rd 725,982.3,982.3,80.3,2.3
Manassass Gap Shelter,982.4,982.4,80.3,0.1
Upper Ted Lake Parking Area TH,983.3,983.3,80.4,0.9
Dick's Dome Shelter,986.9,986.9,80.6,3.6
US Hwy 17,991.8,991.8,80.9,5.0
US Hwy 50,991.9,991.9,80.9,0.0
VA 601 TH,992.0,992.0,80.9,0.1
Rod Hollow Shelter,995.3,995.3,81.1,3.3
SR 605,999.1,999.1,81.4,3.8
Sam Moore Shelter,1002.3,1002.3,81.5,3.2
